ced_id,total_m,total_f,total_p,age_20_34,age_35_54,age_55_74,age_75_over,age_75_over,indigenous_m,indigenous_f,indigenous_p,birth_aus,birth_oth,lang_eng,lang_oth,aus_citizen
CED101,79869,83028,162893,33790,43041,35767,22229,22229,752,859,1618,91050,65372,79993,75423,132876
CED102,90505,91139,181643,48977,49235,33865,23173,23173,638,717,1356,83119,90093,67338,103562,134920
CED103,93521,97697,191219,45206,54226,36845,21563,21563,459,450,903,88189,96647,83398,100168,142506
CED104,75201,77373,152571,21199,42611,35850,22992,22992,538,480,1014,94860,54579,102018,46439,133895
CED105,96511,92095,188607,47044,46307,33973,18381,18381,515,533,1049,80982,93689,45785,126652,139647
CED106,81650,87529,169182,25218,49337,35037,26432,26432,235,215,446,87633,77546,99107,65166,137062
CED107,84728,84502,169232,29520,40703,40932,25901,25901,6894,6365,13259,141740,15670,148123,8186,150314
CED108,100120,101944,202063,44680,55039,34007,15642,15642,3994,4432,8427,99496,89587,92904,94772,159822
CED109,72635,76813,149450,26347,39950,33876,25110,25110,970,930,1897,108854,34974,110423,32629,134486
CED110,82185,88020,170205,24399,38429,48741,35634,35634,5979,6205,12182,136935,21684,149279,9390,151527
CED111,79564,82109,161676,34441,40411,35308,24153,24153,2164,2210,4372,119693,35323,127483,26909,142277
CED112,78744,83974,162722,28134,40165,37652,26719,26719,4682,4775,9451,131304,23110,143308,10654,146834
CED113,80807,80724,161530,26340,41398,43190,23162,23162,3179,3090,6268,127896,23357,138683,12747,144363
CED114,85777,87339,173116,29324,40453,44130,28929,28929,4154,4329,8487,138948,19843,144778,14907,149843
CED115,85684,87839,173523,37303,44194,38338,19273,19273,720,771,1494,67784,94990,43208,117459,135661
CED116,80692,83053,163743,22435,35391,51595,35337,35337,4812,4718,9530,130609,22403,145381,7647,147269
CED117,73515,77216,150729,38218,47385,27808,15087,15087,855,940,1794,95463,48979,108065,35890,127004
CED118,101385,100159,201542,42507,62509,31339,14217,14217,1748,1546,3293,101159,92254,95650,95478,159857
CED119,74052,76248,150300,25533,42074,31728,18953,18953,1164,1153,2315,114535,32043,119048,26315,138222
CED120,85432,86665,172094,31155,44283,37782,20856,20856,3595,3555,7151,141604,22194,150163,13200,156972
CED121,87036,87384,174420,32192,42562,40757,26319,26319,7278,6751,14028,149063,17018,156851,7486,158742
CED122,89527,92410,181933,51110,50188,31916,21347,21347,1696,1697,3388,94444,78407,108550,62272,135571
CED123,92631,95216,187851,41750,50932,33798,17002,17002,4908,4969,9879,134364,43044,140101,35601,162174
CED124,76884,80459,157347,18592,33295,51145,36881,36881,5224,5341,10569,132040,14783,143609,4348,144184
CED125,101285,104213,205501,45073,55186,36267,15210,15210,3737,4106,7841,130554,65264,126911,67186,175801
CED126,75968,79420,155387,22854,42681,35727,27168,27168,602,510,1117,107435,43166,126909,22912,136816
CED127,71325,74011,145330,23626,37644,36729,20615,20615,2661,2696,5358,117229,22544,129796,9827,133055
CED128,87426,88217,175649,36410,45404,35685,18990,18990,1114,1230,2344,86231,79034,68913,94350,138679
CED129,92376,95838,188212,30502,57995,35094,20144,20144,565,569,1134,106496,77622,107097,75950,159513
CED130,77752,80894,158649,26908,36233,40017,27264,27264,8045,8361,16409,130246,14513,136639,8717,138212
CED131,81680,84482,166162,40595,42196,33907,21037,21037,3455,3573,7026,134058,24893,140700,17670,147916
CED132,80375,86835,167209,35021,51255,32691,21106,21106,313,292,606,93694,67639,110241,50150,134902
CED133,83408,85376,168784,24651,39505,49358,29561,29561,5668,5535,11198,139193,16823,148134,7771,150598
CED134,76753,78220,154967,28476,35585,37174,23752,23752,12323,13025,25343,125770,10241,129567,7218,131411
CED135,103754,99517,203278,56138,57650,32095,16794,16794,799,790,1589,77608,113291,64772,124462,134122
CED136,85927,89647,175578,32513,42050,41668,26439,26439,6572,6958,13532,149971,17791,159215,8412,161817
CED137,100054,101763,201820,61996,54431,35513,20747,20747,728,532,1254,88557,104540,81637,109040,139869
CED138,80437,86993,167436,23848,41895,47060,31761,31761,3067,3197,6265,127362,27493,145033,10026,145587
CED139,79774,81571,161349,28996,36623,38948,26470,26470,6062,6018,12076,136391,13574,140614,9410,143718
CED140,73596,78375,151973,23287,38315,39190,28442,28442,2601,2716,5319,115632,29181,131452,13046,135511
CED141,74146,77775,151922,24658,37389,38052,27598,27598,3961,4079,8044,129930,16013,138593,7216,140993
CED142,106905,97307,204215,87388,60018,28641,12646,12646,1555,1420,2968,90579,99956,117313,72381,131428
CED143,72669,78145,150819,27405,44984,30863,20482,20482,392,348,740,94380,51825,120160,25534,127222
CED144,92809,90349,183154,42580,48370,34415,20968,20968,484,554,1031,82452,89426,54984,115098,138707
CED145,70021,76081,146102,36908,42073,27060,19809,19809,330,288,618,84217,54825,111590,26271,117285
CED146,98652,100525,199172,41004,53896,35916,15263,15263,1751,1904,3657,100705,88235,74934,111483,167627
CED147,82035,86507,168545,28908,41097,40323,28789,28789,3525,3637,7158,131235,29550,143112,17493,152614
CED194,6375,4997,11371,3016,3537,2703,603,603,712,527,1236,5912,1908,6417,1150,6569
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,77940,81164,159103,29880,43828,36528,21336,21336,492,527,1022,101819,52582,108159,45732,136136
CED202,74181,78063,152243,27520,38179,36871,21507,21507,1291,1347,2638,126487,17293,134667,9407,137432
CED203,74267,78286,152555,26657,37373,38470,24146,24146,1550,1557,3107,127644,15781,133894,9085,136879
CED204,90343,88799,179139,38708,47937,36634,19312,19312,463,542,1013,87697,82003,84612,83669,141046
CED205,94756,93729,188482,45587,51173,28569,11378,11378,639,630,1271,93284,85251,66341,109831,145344
CED206,77906,79535,157444,28025,42274,36974,19943,19943,866,851,1716,125122,26480,139114,12500,142751
CED207,90099,93552,183655,41521,47694,36159,31407,31407,237,227,470,85493,91288,84386,92059,134855
CED208,75990,80287,156279,39666,46831,27315,19361,19361,717,780,1499,101021,48652,99594,49861,131011
CED209,74092,78661,152752,26838,38446,36398,23451,23451,720,748,1467,124014,22011,135313,10675,137995
CED210,77971,81268,159242,34180,40647,34902,21998,21998,1211,1180,2396,120885,30472,127478,22788,137815
CED211,80822,86289,167110,30129,46526,35694,25825,25825,453,444,889,112961,49276,118998,42387,142046
CED212,77143,80871,158012,28561,43802,34518,20912,20912,944,950,1897,116583,33981,133390,16921,138815
CED213,72638,77714,150355,20472,35361,42709,34294,34294,862,768,1634,115498,25687,133808,8011,134924
CED214,88791,87592,176388,47724,49313,31857,18527,18527,512,485,991,82238,83211,70818,93895,133631
CED215,95075,94911,189984,38511,60598,28968,14654,14654,693,538,1238,102974,78611,102615,77173,145337
CED216,76298,78058,154357,24581,35175,44756,27349,27349,1906,1912,3820,123600,18410,134378,7887,135949
CED217,74264,80469,154736,23311,43649,36038,23978,23978,204,181,386,102484,47290,117819,31584,133524
CED218,89201,88900,178100,37670,51814,31850,13748,13748,649,416,1069,94875,75777,78373,88841,145325
CED219,81404,83986,165389,34812,45051,30735,13857,13857,1218,1233,2454,116711,39891,121179,35100,140712
CED220,74497,80562,155062,43333,41877,29713,21082,21082,279,227,507,98440,50446,110412,38194,126154
CED221,93534,93721,187255,43209,53319,26993,11418,11418,767,725,1491,99847,78897,98187,78879,147454
CED222,98421,97169,195590,49838,51758,36719,25927,25927,315,296,615,84215,103430,75459,110949,143656
CED223,77010,79610,156620,23333,37358,44422,27305,27305,1594,1734,3325,129088,16367,138386,7822,140676
CED224,77828,82689,160526,28228,47250,33576,21808,21808,361,369,732,104131,51321,111369,43368,139081
CED225,77412,81452,158869,27768,44258,35971,22406,22406,530,510,1039,117204,37006,122659,31331,141679
CED226,78044,85306,163354,32934,42788,35854,24197,24197,231,194,425,104559,54034,110140,48247,137099
CED227,83354,86111,169469,36146,47587,27041,14841,14841,649,715,1362,111990,49896,118865,42571,142457
CED228,100992,100333,201323,49088,57708,27841,11253,11253,922,1042,1965,99417,90932,94342,94570,146844
CED229,82107,85969,168080,51969,49991,30770,16778,16778,381,366,747,95504,62953,114513,43454,125526
CED230,83340,84301,167639,27797,38126,45842,30858,30858,2541,2748,5295,135141,18348,140635,13953,145100
CED231,74746,78659,153408,33533,43325,31334,21566,21566,377,355,729,103645,43891,103430,43935,133063
CED232,79087,80801,159894,29043,45630,30921,14152,14152,994,952,1943,122561,30423,127556,25340,141972
CED233,98410,101559,199964,95302,49150,24517,12182,12182,580,520,1105,98288,88437,114188,72018,129088
CED234,83846,89005,172855,31378,46667,37970,30893,30893,248,226,481,93770,73741,90405,76877,138694
CED235,71468,74883,146349,21872,33480,42914,26735,26735,1016,980,1995,117092,18953,129986,7095,131057
CED236,79509,80000,159507,26652,37470,41618,27665,27665,2491,2561,5063,126983,20069,131544,16208,138224
CED237,84897,85498,170399,37767,47336,31873,17821,17821,718,799,1513,92633,70471,75286,86788,138818
CED238,76844,77714,154555,23837,36473,44048,27224,27224,1493,1392,2889,129664,14101,137470,6161,137555
CED239,77216,81096,158319,45942,45250,24511,18656,18656,483,516,1000,98820,52799,95531,55638,129396
CED294,5170,3915,9089,2490,3129,1687,333,333,246,214,462,4283,1390,4485,977,4693
CED297,36,6,38,6,19,18,0,0,0,0,0,9,3,13,5,11
CED301,93989,95955,189948,40019,48935,36179,18619,18619,5280,5398,10682,146810,32538,160014,18069,163698
CED302,79425,83459,162883,29997,47432,31975,19636,19636,1628,1666,3295,108700,48959,121271,35899,138438
CED303,77727,81498,159222,24271,41329,40907,24695,24695,2288,2366,4654,116956,36718,141607,11835,141606
CED304,91020,92237,183255,61864,52119,28854,13716,13716,1292,1300,2592,120712,53717,140323,33591,145921
CED305,81784,78011,159792,30857,41700,35245,18368,18368,5296,5025,10323,127976,15727,135107,8144,136336
CED306,81985,80096,162083,31293,42877,37233,19301,19301,5568,5300,10868,125227,22774,135094,11728,136978
CED307,78905,80662,159571,28283,45710,33208,16124,16124,2184,2201,4389,122552,32140,140402,14003,143417
CED308,94416,100202,194617,38046,51469,42440,26412,26412,2265,2369,4633,123332,60443,155747,27325,155126
CED309,81533,87937,169466,26312,44738,43066,27550,27550,1951,2061,4015,125461,35677,150378,10412,147080
CED310,82661,89519,172185,28699,43358,42967,29755,29755,2143,2168,4312,128350,34894,152874,10537,149541
CED311,80918,77766,158677,27441,41410,37838,17064,17064,5305,5572,10875,126176,17666,136827,7697,136554
CED312,94551,98792,193345,41542,50523,35535,19278,19278,3461,3775,7243,129350,52409,154134,26920,155039
CED313,86810,90780,177589,53852,51775,27626,13493,13493,1317,1393,2707,117440,51817,133983,34803,144340
CED314,77671,83197,160864,30836,38487,34804,24089,24089,3861,4219,8080,129901,22823,137383,15178,141642
CED315,81309,82738,164046,37209,42128,32339,15963,15963,7650,8236,15885,128942,22857,137454,13748,142399
CED316,75739,80821,156565,21717,33864,47622,35102,35102,3862,3996,7860,122891,23878,139368,7976,139058
CED317,87392,84011,171402,30229,41959,42223,23080,23080,12773,12529,25308,132278,21401,138101,15147,145398
CED318,87048,88573,175620,33247,48640,39576,17760,17760,13836,14864,28703,121434,37978,125859,32482,144561
CED319,78720,82842,161558,36313,45828,30034,20778,20778,1975,2122,4091,116537,39042,129719,25196,138884
CED320,91490,95091,186589,34714,45521,43645,26882,26882,4519,4574,9095,143288,33582,163809,11554,161917
CED321,75547,75875,151422,24511,35208,40588,24686,24686,5534,5789,11322,123521,13038,131789,5725,132339
CED322,77965,85643,163608,30342,44882,35982,23704,23704,1649,1691,3339,114885,40788,137166,18049,138629
CED323,89128,93016,182143,42028,47369,41891,28583,28583,1697,1760,3453,109951,58593,136093,32419,139387
CED324,83616,84858,168476,41807,46450,30157,17967,17967,1264,1438,2701,96085,66005,100457,60842,132664
CED325,93316,93200,186519,40067,52126,31943,15087,15087,3558,3217,6776,110455,67859,116176,57825,148530
CED326,89184,96101,185285,33144,50445,38717,26322,26322,3106,3327,6434,127023,50444,149896,27197,156889
CED327,92452,94401,186856,38651,50569,33496,15164,15164,3184,3309,6493,106163,69542,115039,59615,143172
CED328,80434,83367,163797,34909,45721,29139,18773,18773,956,975,1931,110911,48391,130004,28920,140169
CED329,75366,76871,152236,19071,35984,48337,29070,29070,3559,3349,6902,118401,23329,136092,5767,134479
CED330,90275,91387,181665,30563,49267,40576,19204,19204,3482,3676,7153,139259,32377,159046,12069,158130
CED394,7861,6807,14670,3583,4006,4592,932,932,652,533,1188,9019,2917,9972,1184,9621
CED397,149,28,183,65,109,8,0,0,0,0,0,29,23,32,22,29
CED401,98241,99379,197621,54668,51563,38016,23333,23333,1368,1377,2743,117228,72675,118480,70728,155313
CED402,86597,85087,171687,26843,41394,47399,29417,29417,2614,2454,5065,140683,19336,149959,10033,152628
CED403,84355,91268,175626,34268,44776,41688,30251,30251,881,884,1768,125216,45251,138771,31529,153297
