ced_id,total_m,total_f,total_p,age_20_34,age_35_54,age_55_74,age_75_over,indigenous_m,indigenous_f,indigenous_p,birth_aus,birth_oth,lang_eng,lang_oth,aus_citizen,median_age,median_mortgage_mtly,median_income_mtly,median_rent_mtly,avg_household,edu_highschool,edu_tertiary,edu_adv_diploma,edu_bachelors,edu_postgrad,job_science,job_infotech,job_engineering,job_architect_constr,job_agriculture,job_health,job_education,job_commerce,job_society_culture,job_creative_arts,job_food_hospitality,job_mixedfield,job_pos_manager,job_pos_professional,job_pos_technician,job_pos_community_service,job_pos_admin,job_pos_sales,job_pos_mach_operators,job_pos_labourer,jobs_pos_total,rel_buddhism,rel_christianity,rel_hinduism,rel_islam,rel_other,rel_secular_spiritual,rel_none,electoral,state,division_id,yes_votes,no_votes,total_votes
CED101,79869,83028,162893,33790,43041,35767,22229,752,859,1618,91050,65372,79993,75423,132876,39,2500,3389.0,1885.0,2.8,86954,20322,13934,27680,13163,1809,3945,6909,2559,495,5461,4171,16085,6427,2284,2149,67,7974,18164,6052,5131,8190,3294,1990,2586,54347,7292,82781,7213,10240,968,44697,9533,Banks,NSW,103,31297,49287,80584
CED102,90505,91139,181643,48977,49235,33865,23173,638,717,1356,83119,90093,67338,103562,134920,36,2383,3523.0,2080.0,2.6,104412,18301,15360,35129,17923,2316,5364,7304,2783,505,6234,3799,19655,8135,3952,2658,99,9164,22793,6727,6141,8699,4302,2349,3787,65248,9333,79056,11152,14893,783,53307,12762,Barton,NSW,104,34112,43375,77487
CED103,93521,97697,191219,45206,54226,36845,21563,459,450,903,88189,96647,83398,100168,142506,37,2600,4082.0,2037.0,2.6,120712,16492,14921,45931,28469,3680,7397,10261,2848,674,7552,4327,24644,8702,3635,2271,64,12915,33880,6760,5155,10324,4280,1550,2239,78337,8534,82112,9759,6170,1588,71710,10841,Bennelong,NSW,105,41315,43246,84561
CED104,75201,77373,152571,21199,42611,35850,22992,538,480,1014,94860,54579,102018,46439,133895,43,2817,4160.0,2383.0,3.0,87208,17945,13101,31892,18734,2803,4647,8076,3223,1019,6000,4567,16554,6937,2604,1575,42,12013,23797,5812,3998,7911,2680,1022,1595,59631,4481,76944,7169,2688,1358,53154,6459,Berowra,NSW,106,38221,41983,80204
CED105,96511,92095,188607,47044,46307,33973,18381,515,533,1049,80982,93689,45785,126652,139647,33,2110,2409.0,1733.0,3.2,85766,17668,12849,21410,9251,1361,3538,5314,1751,247,4113,2935,10865,4654,1112,1674,83,4059,11183,4833,5028,5454,2537,2419,3069,39642,14674,58837,7557,59699,1032,28738,18027,Blaxland,NSW,107,27920,44407,72327
CED106,81650,87529,169182,25218,49337,35037,26432,235,215,446,87633,77546,99107,65166,137062,41,3100,4602.0,2383.0,2.8,109181,10285,12934,44045,28108,3124,5354,6825,2087,641,7444,3742,22477,9230,3262,1350,53,14878,30760,3588,3776,7927,3302,729,1329,67439,5952,71920,7323,2268,1659,68899,7979,Bradfield,NSW,108,42274,38836,81110
CED107,84728,84502,169232,29520,40703,40932,25901,6894,6365,13259,141740,15670,148123,8186,150314,40,1647,3280.0,1300.0,2.4,56735,34136,11097,15986,6891,1098,787,9425,3491,2505,6650,5161,9386,6425,1449,3151,83,7550,12765,8900,6934,5932,2347,3245,3348,51790,1067,95015,1196,777,962,54850,15272,Calare,NSW,109,28039,71252,99291
CED108,100120,101944,202063,44680,55039,34007,15642,3994,4432,8427,99496,89587,92904,94772,159822,34,2200,3246.0,1647.0,3.1,89618,24092,12797,26520,11900,1898,5434,9106,1969,591,6007,3247,14991,6089,1458,2439,72,5524,15249,6813,6816,8477,2974,5290,3648,56022,3059,98014,22101,19454,8537,35062,15786,Chifley,NSW,111,37283,53547,90830
CED109,72635,76813,149450,26347,39950,33876,25110,970,930,1897,108854,34974,110423,32629,134486,42,2750,4294.0,2167.0,2.5,75531,24321,14328,24559,10133,1562,1799,7595,4471,612,5609,4643,15590,6562,2569,2238,40,10872,17773,7079,4751,7665,3191,1283,1602,55103,2169,89755,993,2667,436,44921,8206,Cook,NSW,112,30876,52772,83648
CED110,82185,88020,170205,24399,38429,48741,35634,5979,6205,12182,136935,21684,149279,9390,151527,47,1625,2726.0,1517.0,2.3,58210,34999,12749,16518,6997,890,829,5793,3437,1489,7064,4949,8847,6651,1331,3336,61,5850,12965,6903,7520,5518,2712,1467,3203,46839,1521,82012,787,522,1838,68686,14680,Cowper,NSW,113,34493,68060,102553
CED111,79564,82109,161676,34441,40411,35308,24153,2164,2210,4372,119693,35323,127483,26909,142277,39,2167,3380.0,1690.0,2.5,74572,28028,12759,23985,13828,1986,1880,9237,3665,1011,7206,5620,11263,7818,2798,2282,34,7734,19800,7905,6679,6478,2517,2179,2444,56497,2084,79549,1787,3945,788,63932,9439,Cunningham,NSW,114,47599,43472,91071
CED112,78744,83974,162722,28134,40165,37652,26719,4682,4775,9451,131304,23110,143308,10654,146834,41,1957,3111.0,1690.0,2.6,56689,34330,12357,14357,5681,850,1146,6476,4188,1095,6119,4529,9836,6457,1616,2938,45,6030,11640,8092,7133,5961,2676,2058,2820,47137,1403,83897,983,687,804,63765,11052,Dobell,NSW,115,32032,58288,90320
CED113,80807,80724,161530,26340,41398,43190,23162,3179,3090,6268,127896,23357,138683,12747,144363,43,1820,3783.0,1387.0,2.4,68827,30084,12632,18816,11174,1717,2027,8049,4235,2371,5448,4661,10657,7970,1960,3081,51,10475,14053,8265,6261,6916,2408,2036,3198,54662,1370,76790,1787,1125,1416,66094,12825,Eden-Monaro,NSW,117,36483,55712,92195
CED114,85777,87339,173116,29324,40453,44130,28929,4154,4329,8487,138948,19843,144778,14907,149843,42,1300,3224.0,1083.0,2.4,54748,32466,10874,14431,5605,908,844,8307,3372,3435,6060,5227,9193,5593,964,3191,74,8325,11229,8271,6407,5576,2350,2554,4138,49689,1065,92566,2920,1361,2304,57349,15482,Farrer,NSW,118,23376,70335,93711
CED115,85684,87839,173523,37303,44194,38338,19273,720,771,1494,67784,94990,43208,117459,135661,38,1950,2258.0,1603.0,3.0,74649,18549,10967,17057,5203,1182,2013,4996,1606,211,3625,2512,8851,4225,1093,1575,77,3330,9408,4295,4106,5104,2088,2463,2185,33760,33205,78003,3309,13034,4552,27472,13925,Fowler,NSW,119,32469,48217,80686
CED116,80692,83053,163743,22435,35391,51595,35337,4812,4718,9530,130609,22403,145381,7647,147269,49,1733,2838.0,1517.0,2.3,57793,35459,13076,16392,8425,1016,649,7050,4450,1447,5798,4549,8053,6235,1431,2960,37,6463,11857,8127,6573,4940,2527,1539,2949,45669,1271,79234,685,419,671,68114,13175,Gilmore,NSW,120,38309,61580,99889
CED117,73515,77216,150729,38218,47385,27808,15087,855,940,1794,95463,48979,108065,35890,127004,38,3000,5434.0,2167.0,2.3,97077,12801,11854,39945,23366,3023,3169,5247,3379,803,6527,4170,17286,13830,9332,1853,47,14410,33301,5032,4350,7503,3137,979,1604,71213,4534,53387,3039,1780,808,77322,9059,Grayndler,NSW,121,61733,20566,82299
CED118,101385,100159,201542,42507,62509,31339,14217,1748,1546,3293,101159,92254,95650,95478,159857,35,2500,4034.0,1950.0,3.1,103521,23012,14942,34745,19980,2891,8507,11568,2733,791,6830,4790,20145,7236,2098,2707,61,10396,25196,7826,6864,10652,3645,4170,3042,73093,4650,86554,35641,12174,12114,38135,12180,Greenway,NSW,122,40431,52151,92582
CED119,74052,76248,150300,25533,42074,31728,18953,1164,1153,2315,114535,32043,119048,26315,138222,39,2600,4320.0,2123.0,2.9,73160,26138,14032,22868,10737,1829,2349,8874,3958,814,5483,5559,14667,7110,2470,2134,38,9806,18641,8012,5528,8337,2705,1466,1789,57010,2083,87168,2727,3245,598,47410,6901,Hughes,NSW,124,35137,48547,83684
